Collumn Name,Type,Not Null,Name Field,Allow values
COD_ANALIS_CONTROL,"NUMBER(6,0)",PK,Código de Análise de Controle,
NUN_SEQ_CVTP,"NUMBER(6,0)",FK:CVTP_PRODUTO,Número Sequencial CVTP,
COD_REVIS_CVTP,"NUMBER(6,0)",,Código de Revisão CVTP,
COD_REG_USUAR,"NUMBER(6,0)",,Código de Registro de Usuário,
COD_REG_EMPRG,"NUMBER(3,0)",,Código de Registro de Empregado,
COD_SIGLA_LOTAC,VARCHAR2(5),,Código da Sigla da Lotação,
E-MAIL_ANALIS_CUSTO,VARCHAR2(48),,E-mail de Análise de Custo,
PRODUT_SAP_SIMILAR,VARCHAR2(48),,Produto SAP Similar,
ANO_MES_REFER,DATE,,Ano e Mês de Referência,
QTDE_AÇO_ANALCUSTO,"NUMBER(5,0)",,Quantidade de Aço para Análise de Custo,
STATUS_ANALIS_CUSTO,VARCHAR2(4),,Status da Análise de Custo,
DTH_INIC_ANALCUSTO,DATE,,Data e Hora de Início da Análise de Custo,
DTH_ENVIO_ANALCUSTO,DATE,,Data e Hora de Envio da Análise de Custo,
