Collumn Name,Type,Not Null,Name Field,Allow values
NUN_PROP_MECAN,"NUMBER(6,0)",PK,Número da Proposta Mecânica,
NUN_SEQ_CVTP,"NUMBER(6,0)",FK:CVTP_PRODUTO,Número Sequencial CVTP,
COD_CONJ_PROP,"NUMBER(3,0)",FALSE,Código do Conjunto da Proposta,
ESP_NOM_PRODT,"NUMBER(6,3)",FALSE,Especificação Nominal do Produto,
TOL_MIN_ESP,"NUMBER(6,3)",FALSE,Tolerância Mínima da Especificação,
TOL_MAX_ESP,"NUMBER(6,3)",FALSE,Tolerância Máxima da Especificação,
LAR_NOM_PRODT,"NUMBER(6,4)",FALSE,Largura Nominal do Produto,
TOL_MIN_LAR,"NUMBER(6,4)",FALSE,Tolerância Mínima da Largura,
TOL_MAX_LAR,"NUMBER(6,4)",FALSE,Tolerância Máxima da Largura,
COMP_NOM_PRODT,"NUMBER(5,0)",FALSE,Comprimento Nominal do Produto,
TOL_MIN_COMP,"NUMBER(5,0)",FALSE,Tolerância Mínima do Comprimento,
TOL_MAX_COMP,"NUMBER(5,0)",FALSE,Tolerância Máxima do Comprimento,
COD_TIPO_BORDA,VARCHAR2(2),FALSE,Código do Tipo de Borda,"BA, BN"
DTH_CAD_REG,DATE,FALSE,Data e Hora de Cadastro do Registro,
COD_REG_USUAR,"NUMBER(6,0)",FALSE,Código de Registro de Usuário,
COD_REG_EMPRG,"NUMBER(3,0)",FALSE,Código de Registro de Empregado,
